(0,00, 1,00, -4,95)
(0,00, 1,00, 4,95)
(0,37, 0,00, 1,86)
(0,42, 0,00, 1,99)
(0,42, 0,00, 2,00)
(0,42, 0,00, 2,01)
(0,43, 0,00, 2,02)
(0,43, 0,00, 2,02)
(0,43, 0,00, 2,04)
(0,43, 0,00, 2,05)
(0,44, 0,00, 2,09)
(0,45, 0,00, 2,12)
(0,46, 0,00, 2,16)
(0,47, 0,00, 2,19)
(0,48, 0,00, 2,23)
(0,49, 0,00, 2,27)
(0,50, 0,00, 2,33)
(0,53, 0,00, 2,46)
(0,54, 0,00, 2,51)
(0,55, 0,00, 2,57)
(0,57, 0,00, 2,64)
(0,58, 0,00, 2,72)
(0,60, 0,00, 2,81)
(0,62, 0,00, 2,89)
(0,63, 0,00, 2,96)
(0,65, 0,00, 3,05)
(0,68, 0,00, 3,16)
(0,70, 0,00, 3,35)
(0,73, 0,00, 3,56)
(0,75, 0,00, 3,71)
(0,76, 0,00, 3,82)
(0,79, 0,00, 3,96)
(0,80, 0,00, 4,09)
(0,82, 0,00, 4,22)
(0,83, 0,00, 4,32)
(0,87, 0,00, 4,50)
(0,91, 0,00, 4,83)
(0,93, 0,02, 4,95)
(0,93, 0,08, 4,95)
(0,92, 0,13, 4,95)
(0,91, 0,19, 4,95)
(0,89, 0,25, 4,95)
(0,87, 0,32, 4,95)
(0,86, 0,37, 4,95)
(0,85, 0,44, 4,95)
(0,82, 0,51, 4,95)
(0,75, 0,80, 4,95)
(0,74, 0,87, 4,95)
(0,74, 0,97, 4,95)
(0,72, 1,08, 4,95)
(0,71, 1,22, 4,95)
(0,68, 1,33, 4,95)
(0,67, 1,46, 4,95)
(0,63, 1,63, 4,95)
(0,56, 1,91, 4,95)
(0,51, 2,07, 4,95)
(0,46, 2,24, 4,95)
(0,42, 2,42, 4,95)
(0,36, 2,59, 4,95)
(0,33, 2,81, 4,95)
(0,28, 3,02, 4,95)
(0,24, 3,25, 4,95)
(0,21, 3,48, 4,95)
(0,10, 4,37, 4,95)
(0,07, 4,61, 4,95)
(0,04, 4,87, 4,95)
(0,01, 5,00, 4,73)
(-0,02, 5,00, 4,47)
(-0,05, 5,00, 4,20)
(-0,07, 5,00, 3,93)
(-0,10, 5,00, 3,66)
(-0,10, 5,00, 3,46)
(-0,11, 5,00, 3,27)
(-0,11, 5,00, 2,98)
(-0,11, 5,00, 2,84)
(-0,12, 5,00, 2,68)
(-0,11, 5,00, 2,58)
(-0,11, 5,00, 2,47)
(-0,10, 5,00, 2,39)
(-0,10, 5,00, 2,32)
(-0,10, 5,00, 2,18)
(-0,09, 5,00, 2,13)
